GEOID,CTYNAME,RACE,SEX,AGEGRP,YEAR,POPULATION
47003,Bedford,3,2,18,2022,18
47003,Bedford,4,1,1,2022,96
47003,Bedford,4,1,2,2022,102
47003,Bedford,4,1,3,2022,86
47003,Bedford,4,1,4,2022,138
47003,Bedford,4,1,5,2022,94
47003,Bedford,4,1,6,2022,54
47003,Bedford,4,1,7,2022,43
47003,Bedford,4,1,8,2022,38
47003,Bedford,4,1,9,2022,29
47003,Bedford,4,1,10,2022,44
47003,Bedford,4,1,11,2022,41
47003,Bedford,4,1,12,2022,33
47003,Bedford,4,1,13,2022,39
47003,Bedford,4,1,14,2022,20
47003,Bedford,4,1,15,2022,25
47003,Bedford,4,1,16,2022,12
47003,Bedford,4,1,17,2022,12
47003,Bedford,4,1,18,2022,8
47003,Bedford,4,2,1,2022,110
47003,Bedford,4,2,2,2022,92
47003,Bedford,4,2,3,2022,93
47003,Bedford,4,2,4,2022,107
47003,Bedford,4,2,5,2022,78
47003,Bedford,4,2,6,2022,54
47003,Bedford,4,2,7,2022,48
47003,Bedford,4,2,8,2022,34
47003,Bedford,4,2,9,2022,28
47003,Bedford,4,2,10,2022,37
47003,Bedford,4,2,11,2022,32
47003,Bedford,4,2,12,2022,32
47003,Bedford,4,2,13,2022,33
47003,Bedford,4,2,14,2022,29
47003,Bedford,4,2,15,2022,23
47003,Bedford,4,2,16,2022,12
47003,Bedford,4,2,17,2022,6
47003,Bedford,4,2,18,2022,12
47005,Benton,1,1,1,2022,360
47005,Benton,1,1,2,2022,416
47005,Benton,1,1,3,2022,455
47005,Benton,1,1,4,2022,377
47005,Benton,1,1,5,2022,377
47005,Benton,1,1,6,2022,345
47005,Benton,1,1,7,2022,388
47005,Benton,1,1,8,2022,362
47005,Benton,1,1,9,2022,408
47005,Benton,1,1,10,2022,427
47005,Benton,1,1,11,2022,520
47005,Benton,1,1,12,2022,545
47005,Benton,1,1,13,2022,563
47005,Benton,1,1,14,2022,567
47005,Benton,1,1,15,2022,481
47005,Benton,1,1,16,2022,326
47005,Benton,1,1,17,2022,180
47005,Benton,1,1,18,2022,127
47005,Benton,1,2,1,2022,350
47005,Benton,1,2,2,2022,379
47005,Benton,1,2,3,2022,409
47005,Benton,1,2,4,2022,387
47005,Benton,1,2,5,2022,333
